#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号,傀異錬成初期コスト,傀異錬成最大防御＋,傀異錬成2スロ追加時最大防御＋
ゴシャＸコイル,0,8,2,1,1,,106,122,-4,1,-1,4,0,抜刀術【力】,1,逆恨み,2,納刀術,1,,,,,,,,,,,,,,,,,,,5640,16,26,2
ゴルムフォールド,0,8,3,2,0,,112,128,-1,3,-2,0,2,供応,1,集中,1,渾身,2,,,,,,,,,,,,,,,,,,,5650,16,26,2
ギザミコイル,0,8,1,0,0,,108,124,-3,1,-4,-1,2,研磨術【鋭】,1,匠,1,見切り,2,,,,,,,,,,,,,,,,,,,5660,16,26,2
オロミドＸコイル,0,8,4,1,0,,108,124,-4,3,3,-2,-2,回避性能,2,強化持続,1,弾丸節約,1,,,,,,,,,,,,,,,,,,,5670,16,26,2
ヤツカダＸコイル,0,8,2,2,0,,108,124,4,-2,-1,-3,0,散弾・拡散矢強化,1,弾丸節約,1,チューンアップ,1,,,,,,,,,,,,,,,,,,,5680,16,26,2
オロミドＺコイル,0,9,3,3,0,,112,128,5,-5,0,-4,0,死中に活,1,ガード強化,1,,,,,,,,,,,,,,,,,,,,,5690,14,20,1
ヤツカダＺコイル,0,9,3,0,0,,112,128,2,-4,2,-2,2,フルチャージ,2,爆破属性強化,2,,,,,,,,,,,,,,,,,,,,,5700,14,20,1
ウツシ表【腰巻】真,1,9,4,0,0,,110,126,3,0,0,0,0,早食い,1,満足感,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,5710,14,20,1
神凪・洸【腰巻】,2,9,2,0,0,,110,126,3,0,0,0,0,挑戦者,2,翔蟲使い,1,攻撃,1,,,,,,,,,,,,,,,,,,,5720,14,20,1
ウツシ裏【腰巻】真,1,9,2,0,0,,110,126,3,0,0,0,0,挑戦者,2,翔蟲使い,1,攻撃,1,,,,,,,,,,,,,,,,,,,5730,14,20,1
依巫・燿【腰巻】,2,9,4,0,0,,110,126,3,0,0,0,0,早食い,1,満足感,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,5740,14,20,1
クロムメタルＸコイル,0,9,3,2,1,,110,126,-2,-2,-2,-2,-2,ひるみ軽減,1,,,,,,,,,,,,,,,,,,,,,,,5750,14,20,1
コトルＸコイル,0,9,3,0,0,,112,128,4,-2,0,-1,0,ガード強化,1,特殊射撃強化,1,回避性能,1,,,,,,,,,,,,,,,,,,,5760,14,20,1
ガブラスーツＸベルト,0,9,2,2,0,,112,128,1,1,1,1,3,会心撃【属性】,2,毒耐性,1,,,,,,,,,,,,,,,,,,,,,5770,0,0,0
ミツネＸコイル,0,9,4,1,0,,114,130,0,2,-3,1,-1,泡沫の舞,1,満足感,1,体術,1,,,,,,,,,,,,,,,,,,,5780,14,20,1
レウスＸコイル,0,9,2,0,0,,114,130,3,1,-2,1,-3,攻撃,2,風圧耐性,3,超会心,1,,,,,,,,,,,,,,,,,,,5790,14,20,1
ジンオウＸコイル,0,9,3,1,0,,116,132,0,-1,4,-4,1,力の解放,1,会心撃【属性】,1,雷属性攻撃強化,3,,,,,,,,,,,,,,,,,,,5800,14,20,1
レックスＸコイル,0,9,2,1,0,,118,134,2,0,-3,0,-2,耳栓,2,フルチャージ,1,,,,,,,,,,,,,,,,,,,,,5810,14,20,1
ディアブロＸコイル,0,9,4,1,0,,118,134,3,-1,-1,-3,-1,火事場力,1,スタミナ急速回復,2,,,,,,,,,,,,,,,,,,,,,5820,14,20,1
ゴアコイル,0,9,4,2,0,,112,128,-2,3,-1,2,-1,災禍転福,1,挑戦者,1,,,,,,,,,,,,,,,,,,,,,5830,14,20,1
レギオスコイル,0,9,4,1,1,,114,130,4,0,-3,-2,0,壁面移動【翔】,1,壁面移動,2,,,,,,,,,,,,,,,,,,,,,5840,14,20,1
ゼクスコイル,0,9,2,1,0,,114,130,0,-1,4,-3,0,強化持続,3,砥石使用高速化,2,,,,,,,,,,,,,,,,,,,,,5850,14,20,1
ルナガロコイル,0,9,4,0,0,,114,130,-4,2,-1,4,-1,力の解放,2,翔蟲使い,1,,,,,,,,,,,,,,,,,,,,,5860,14,20,1
エスピナナーベル,0,9,3,1,0,,116,132,3,-1,2,-3,-2,挑戦者,2,剛刃研磨,1,,,,,,,,,,,,,,,,,,,,,5870,14,20,1
重装騎士【帯甲】,0,9,0,0,0,,114,130,1,1,1,1,1,ガード性能,1,納刀術,1,攻めの守勢,2,,,,,,,,,,,,,,,,,,,5880,14,20,1
ホークコイル,1,9,1,1,1,,110,126,0,0,0,0,0,早食い,2,体術,2,,,,,,,,,,,,,,,,,,,,,5890,14,20,1
エコールスカート,2,9,1,1,1,,110,126,0,0,0,0,0,早食い,2,体術,2,,,,,,,,,,,,,,,,,,,,,5900,14,20,1
ディグニクイス,0,9,3,0,0,,112,128,1,1,1,1,1,集中,1,回避性能,2,業物,1,,,,,,,,,,,,,,,,,,,5910,14,20,1
バルバニアベルト,0,9,2,1,1,,110,126,1,1,1,1,1,弱点特効,1,逆襲,1,幸運,1,,,,,,,,,,,,,,,,,,,5920,14,20,1
グローシアコイル,0,9,3,0,0,,112,128,0,0,0,3,0,耐震,2,スタミナ奪取,1,攻撃,1,,,,,,,,,,,,,,,,,,,5930,14,20,1
斉天ノ帯・真,0,9,4,0,0,,116,130,2,1,3,-5,2,火事場力,1,超会心,1,渾身,1,,,,,,,,,,,,,,,,,,,5940,12,16,0
バゼルＸコイル,0,9,2,2,0,,118,132,3,1,-4,-2,-2,砲弾装填,2,ガード性能,1,業物,1,,,,,,,,,,,,,,,,,,,5950,12,16,0
ダマスクＸコイル,0,9,2,0,0,,114,128,-1,2,-3,1,-1,耳栓,1,匠,1,貫通弾・貫通矢強化,1,属性やられ耐性,1,,,,,,,,,,,,,,,,,5960,12,16,0
クシャナＸアンダ,0,9,2,0,0,,120,134,-1,2,-2,3,-3,鋼殻の恩恵,1,挑戦者,3,,,,,,,,,,,,,,,,,,,,,5970,12,16,0
ミヅハ真【丸帯】,0,9,1,1,1,,120,134,-5,1,0,3,-3,霞皮の恩恵,1,フルチャージ,2,攻勢,1,,,,,,,,,,,,,,,,,,,5980,12,16,0
カイザーＸコイル,0,9,3,0,0,,120,134,4,-4,1,-1,-3,炎鱗の恩恵,2,見切り,1,,,,,,,,,,,,,,,,,,,,,5990,12,16,0
アークコイル,1,9,4,0,0,,120,134,-2,2,-1,2,-4,災禍転福,1,業物,2,弾丸節約,2,,,,,,,,,,,,,,,,,,,6000,12,16,0
フィリアコイル,2,9,4,0,0,,120,134,-2,2,-1,2,-4,災禍転福,1,業物,2,弾丸節約,2,,,,,,,,,,,,,,,,,,,6010,12,16,0
メルゼコイル,0,9,1,1,0,,120,134,-2,2,2,-1,-5,血氣,2,破壊王,1,攻撃,1,,,,,,,,,,,,,,,,,,,6020,12,16,0
プロフベルト,1,9,2,2,1,,114,128,1,1,1,1,1,耐震,3,ひるみ軽減,2,,,,,,,,,,,,,,,,,,,,,6030,12,16,0
シャリテスカート,2,9,2,2,1,,114,128,1,1,1,1,1,耐震,3,ひるみ軽減,2,,,,,,,,,,,,,,,,,,,,,6040,12,16,0
サージュコイル,0,9,3,1,1,,114,128,0,0,0,0,0,納刀術,3,満足感,1,,,,,,,,,,,,,,,,,,,,,6050,12,16,0
シーカーベルト,0,9,3,1,0,,114,128,2,2,2,2,2,キノコ大好き,2,回復速度,1,,,,,,,,,,,,,,,,,,,,,6060,12,16,0
メデュレトＸコイル,0,9,3,1,0,,114,128,1,3,0,2,0,破壊王,2,チャージマスター,2,,,,,,,,,,,,,,,,,,,,,6070,12,16,0
セイラーコイル,0,9,3,0,0,,114,128,0,0,0,0,0,剛刃研磨,3,翔蟲使い,1,弾導強化,3,,,,,,,,,,,,,,,,,,,6080,12,16,0
ギルドパレスコイル,0,9,3,1,0,,120,130,1,2,2,1,1,火事場力,2,攻めの守勢,1,,,,,,,,,,,,,,,,,,,,,6090,10,12,-6
冥淵纏鎧イレウーラ,0,10,4,0,0,,126,138,0,3,-2,3,-5,弱点特効,1,連撃,2,,,,,,,,,,,,,,,,,,,,,6100,10,12,-6
しまきのこしもと真,0,10,2,0,0,,122,134,-1,0,0,0,-2,風紋の一致,1,強化持続,1,回避性能,1,風雷合一,1,,,,,,,,,,,,,,,,,6110,10,12,-6
なるかみのこしもと真,0,10,2,0,0,,122,134,2,1,4,-3,-4,雷紋の一致,1,ガード性能,1,砲術,1,風雷合一,1,,,,,,,,,,,,,,,,,6120,10,12,-6
赫耀ノコイル・真,0,10,2,1,0,,124,136,-2,-2,-2,-2,3,龍気活性,1,死中に活,1,逆恨み,2,,,,,,,,,,,,,,,,,,,6130,10,12,-6
怒天ノ帯,0,10,3,0,0,,122,134,2,1,3,-5,2,連撃,1,会心撃【属性】,2,業物,1,弾丸節約,1,,,,,,,,,,,,,,,,,6140,10,12,-6
禍鎧・怨【腰当て】,0,10,4,2,1,,124,136,3,-3,-2,1,1,業鎧【修羅】,1,災禍転福,1,,,,,,,,,,,,,,,,,,,,,6150,16,26,2
拠点司令【帯甲】,0,10,4,0,0,,118,130,1,1,1,1,1,抜刀術【力】,3,納刀術,1,,,,,,,,,,,,,,,,,,,,,6160,10,12,-6
プライドコイル,0,10,2,1,1,,123,135,3,0,-2,-3,-1,力の解放,3,スタミナ急速回復,1,耳栓,1,,,,,,,,,,,,,,,,,,,6190,10,12,-6
ゴールドルナコイル,0,10,3,2,0,,120,132,3,-3,-4,-1,2,状態異常確定蓄積,1,攻勢,1,回避性能,2,,,,,,,,,,,,,,,,,,,6200,10,12,-6
シルバーソルコイル,0,10,2,1,1,,122,134,4,-4,-3,-2,3,弱点特効【属性】,1,合気,1,体術,3,,,,,,,,,,,,,,,,,,,6210,10,12,-6
月光【帯】,0,10,3,1,1,,118,130,3,3,0,-5,-2,闇討ち,1,匠,2,散弾・拡散矢強化,2,,,,,,,,,,,,,,,,,,,6220,10,12,-6
